XUTM	YUTM	LAT	LONG	BIOMAS	TM1	TM2	TM3	TM4	TM5	TM7	BRIGHT	GREEN	MOIST	NDVI	NDVIC	PEND	ALT	H
744797.264	6071183.496	-35.472742	-72.302057	164.649	43	29	23	57	26	15	83.854	-0.004	-4.548	0.425	0.321	6.546	472.423	17.106
745007.264	6071183.496	-35.47269	-72.299744	88.663	48	36	37	66	53	32	109.035	-9.39	-29.607	0.282	0.141	17.793	491.138	2.838
744587.264	6071243.496	-35.472253	-72.304387	127.707	42	31	22	54	29	17	82.817	-2.611	-8.038	0.421	0.306	10.933	466.259	9.288
744797.264	6071363.496	-35.471121	-72.302111	203.209	43	29	23	62	28	15	87.794	3.431	-5.745	0.459	0.338	15.306	497.456	13.273
745007.264	6071363.496	-35.471069	-72.299799	101.979	43	33	24	84	40	20	108.64	15.278	-15.202	0.556	0.347	28.135	471.417	12.141
744587.264	6071423.496	-35.470632	-72.304441	185.372	44	29	22	53	27	16	81.422	-2.956	-5.942	0.413	0.308	18.362	484.353	9.874
745007.264	6071423.496	-35.470529	-72.299817	122.733	43	33	25	80	42	20	106.701	11.987	-16.898	0.524	0.317	19.064	485.318	4.652
745007.264	6071573.496	-35.469178	-72.299862	94.023	45	33	24	80	39	20	105.795	11.839	-14.294	0.536	0.338	20.506	501.49	4.136
745187.264	6071573.496	-35.469133	-72.29788	65.97	47	36	33	77	51	29	113.997	1.628	-26.599	0.408	0.212	34.001	430.633	10.051
744797.264	6071633.496	-35.468689	-72.302192	63.292	45	32	28	53	32	19	86.975	-8.07	-10.157	0.316	0.221	10.624	524.327	7.247
744797.264	6071783.496	-35.467338	-72.302237	119.414	43	29	23	54	28	16	82.202	-2.223	-7.397	0.403	0.296	13.206	524.836	6.924
745007.264	6071783.496	-35.467286	-72.299925	63.468	45	34	27	78	40	21	106.982	8.286	-15.441	0.491	0.305	21.864	514.115	3.364
745187.264	6071843.496	-35.466701	-72.297962	81.228	45	32	24	67	38	20	96.532	3.046	-14.492	0.471	0.303	28.147	473.338	5.485
745007.264	6071963.496	-35.465665	-72.299979	102.316	45	34	29	71	47	27	105.363	0.91	-23.964	0.42	0.234	12.192	525.812	1.061
745397.264	6071993.496	-35.465299	-72.295695	11.049	46	35	28	75	44	22	107.028	4.851	-18.335	0.456	0.268	19.592	390.766	0.702
744797.264	6072023.496	-35.465176	-72.302309	28.436	41	30	23	54	30	16	82.523	-2.139	-8.646	0.403	0.289	14.257	534.216	3.591
745187.264	6072023.496	-35.46508	-72.298016	33.234	44	32	25	73	43	22	102.332	6.581	-19.149	0.49	0.292	19.452	484.03	2.657
744797.264	6072173.496	-35.463825	-72.302355	131.16	45	34	31	64	39	24	98.96	-3.895	-16.519	0.347	0.22	12.124	556.345	5.803
745187.264	6072173.496	-35.463729	-72.298061	39.425	43	32	24	77	39	20	103.138	10.78	-15.112	0.525	0.332	34.63	469.803	6.722
745397.264	6072173.496	-35.463677	-72.295749	63.804	43	30	24	64	36	19	92.442	2.769	-13.566	0.455	0.301	26.632	428.996	8.884
745007.264	6072233.496	-35.463233	-72.300061	8.346	44	34	25	79	44	22	107.534	10.027	-19.09	0.519	0.304	33.806	517.695	4.621
745397.264	6072233.496	-35.463137	-72.295767	67.461	45	35	26	77	43	21	106.897	7.777	-17.35	0.495	0.295	40.15	411.973	4.828
745007.264	6072383.496	-35.461882	-72.300106	9.134	44	35	26	82	45	23	110.8	11.02	-19.888	0.519	0.299	16.58	537.828	5.631
745427.264	6072413.496	-35.461508	-72.295491	49.245	47	35	27	88	40	19	114.765	14.832	-13.008	0.53	0.33	22.981	443.438	4.318
744797.264	6072443.496	-35.461393	-72.302436	5.069	53	44	46	65	60	41	119.847	-21.23	-36.003	0.171	0.075	6.185	562.283	0.182
745187.264	6072443.496	-35.461297	-72.298143	6.598	43	33	23	76	40	19	102.517	10.423	-15.281	0.535	0.334	19.578	503.281	2.909
745187.264	6072563.496	-35.460217	-72.298179	13.109	44	34	25	84	40	21	109.783	13.76	-15.63	0.544	0.337	18.665	525.52	3.005
745397.264	6072563.496	-35.460165	-72.295867	9.521	47	37	33	77	47	28	113.291	1.65	-22.343	0.403	0.225	14.932	464.035	3.369
745607.264	6072563.496	-35.460113	-72.293555	38.795	55	47	54	64	88	65	134.187	-33.956	-68.102	0.086	0.015	18.45	429.056	4.419
745367.264	6072593.496	-35.459902	-72.296206	9.138	47	37	33	75	46	27	111.188	0.479	-21.714	0.394	0.223	14.706	464.363	0.924
744797.264	6072623.496	-35.459772	-72.30249	6.483	46	36	33	69	55	34	109.327	-5.145	-32.719	0.355	0.173	7.764	559.466	0.732
745007.264	6072623.496	-35.459721	-72.300178	68.256	44	33	26	59	32	17	90.044	-2.201	-8.883	0.395	0.276	13.334	533.906	3.131
745607.264	6072623.496	-35.459573	-72.293573	104.094	54	47	56	66	76	55	131.504	-30.814	-53.671	0.077	0.022	6.199	432.938	4.707
744977.264	6072803.496	-35.458107	-72.300563	2.998	47	34	29	73	45	26	106.836	1.443	-21.055	0.427	0.248	20.121	510.942	0.828
745037.264	6072803.496	-35.458092	-72.299902	2.998	46	36	30	75	51	28	110.78	1.294	-26.718	0.426	0.222	16.168	499.341	0.758
745367.264	6072803.496	-35.458011	-72.29627	14.945	46	35	29	75	51	27	109.815	3.462	-26.375	0.448	0.233	15.302	477.573	1.288
745187.264	6072833.496	-35.457785	-72.29826	8.527	43	33	27	81	37	21	106.878	11.537	-13.404	0.503	0.328	9.767	474.085	3.96
745397.264	6072833.496	-35.457733	-72.295948	7.145	44	34	27	76	41	23	105.699	6.836	-17.352	0.476	0.292	15.039	464.854	1.354
745607.264	6072833.496	-35.457681	-72.293637	29.995	47	36	28	79	39	21	109.266	7.333	-13.243	0.477	0.302	8.085	412.178	5.409
744797.264	6072983.496	-35.45653	-72.302598	86.984	46	33	24	63	36	20	94.165	-0.257	-12.74	0.448	0.297	33.768	485.828	6.667
745007.264	6072983.496	-35.456478	-72.300287	4.004	45	35	29	75	46	26	108.158	3.629	-22.186	0.442	0.251	19.313	520.736	0.788
745187.264	6072983.496	-35.456434	-72.298305	193.978	42	29	22	64	28	16	88.601	5.351	-6.508	0.488	0.36	18.391	495.191	12.556
745367.264	6073013.496	-35.456119	-72.296333	29.619	48	39	34	75	49	32	114.411	-2.72	-25.601	0.376	0.203	26.952	452.899	3.763
